frame,time_s,ball,conf,table_x,table_y
99,2.939,red,0.809,0.7517,0.3512
99,2.939,yellow,0.806,0.4244,0.3903
99,2.939,yellow,0.399,0.7885,0.8171
100,2.968,white,0.825,0.4675,0.3386
100,2.968,red,0.807,0.7517,0.3511
100,2.968,yellow,0.749,0.4109,0.3588
100,2.968,yellow,0.309,0.851,0.8173
101,2.998,white,0.825,0.4675,0.3387
101,2.998,red,0.806,0.7517,0.3511
101,2.998,yellow,0.749,0.4109,0.3588
101,2.998,white,0.511,0.913,0.8154
102,3.028,yellow,0.859,0.3976,0.3283
102,3.028,white,0.834,0.4864,0.31
102,3.028,red,0.807,0.7517,0.3511
102,3.028,yellow,0.265,0.9686,0.8203
103,3.057,yellow,0.858,0.3976,0.3284
103,3.057,white,0.834,0.4864,0.31
103,3.057,red,0.806,0.7517,0.3511
104,3.087,white,0.843,0.5044,0.2823
104,3.087,red,0.81,0.7517,0.3512
104,3.087,yellow,0.751,0.3843,0.2964
105,3.117,white,0.843,0.5044,0.2823
105,3.117,red,0.809,0.7517,0.3511
105,3.117,yellow,0.751,0.3843,0.2964
106,3.146,red,0.81,0.7517,0.3511
106,3.146,white,0.801,0.5219,0.2582
106,3.146,yellow,0.785,0.3714,0.2665
107,3.176,red,0.809,0.7517,0.3511
107,3.176,white,0.801,0.5219,0.2582
107,3.176,yellow,0.785,0.3714,0.2665
108,3.206,white,0.844,0.5388,0.23
108,3.206,red,0.809,0.7517,0.3511
108,3.206,yellow,0.78,0.3587,0.2371
109,3.235,white,0.844,0.5388,0.23
109,3.235,red,0.809,0.7517,0.3511
109,3.235,yellow,0.779,0.3587,0.2371
110,3.265,red,0.809,0.7517,0.3511
110,3.265,white,0.804,0.5558,0.2073
110,3.265,yellow,0.712,0.3471,0.2073
111,3.295,red,0.809,0.7517,0.3511
111,3.295,white,0.804,0.5558,0.2073
111,3.295,yellow,0.713,0.347,0.2073
112,3.324,white,0.812,0.5723,0.1831
112,3.324,red,0.81,0.7517,0.3511
112,3.324,yellow,0.81,0.3349,0.1801
113,3.354,white,0.812,0.5723,0.1831
113,3.354,red,0.81,0.7518,0.3511
113,3.354,yellow,0.809,0.3349,0.1801
114,3.384,white,0.81,0.5882,0.158
114,3.384,red,0.809,0.7518,0.3511
114,3.384,yellow,0.791,0.323,0.1519
115,3.414,white,0.809,0.5883,0.158
115,3.414,red,0.809,0.7518,0.3511
115,3.414,yellow,0.791,0.323,0.1519
116,3.443,red,0.81,0.7518,0.3511
116,3.443,white,0.79,0.6041,0.1334
116,3.443,yellow,0.764,0.3118,0.1249
117,3.473,red,0.81,0.7518,0.3511
117,3.473,white,0.79,0.6041,0.1334
117,3.473,yellow,0.766,0.3118,0.1249
118,3.503,white,0.822,0.6188,0.1113
118,3.503,red,0.809,0.7518,0.3511
118,3.503,yellow,0.744,0.3006,0.0992
119,3.532,yellow,0.824,0.2899,0.0737
119,3.532,white,0.821,0.6328,0.0905
119,3.532,red,0.809,0.7518,0.3512
120,3.562,yellow,0.835,0.2796,0.0513
120,3.562,red,0.809,0.7518,0.3512
120,3.562,yellow,0.492,0.6482,0.0687
121,3.592,yellow,0.835,0.2795,0.0513
121,3.592,red,0.809,0.7518,0.3512
121,3.592,yellow,0.494,0.6481,0.0688
122,3.621,yellow,0.86,0.2657,0.0726
122,3.621,white,0.851,0.6609,0.0533
122,3.621,red,0.808,0.7518,0.3511
123,3.651,yellow,0.861,0.2657,0.0726
123,3.651,white,0.851,0.6609,0.0533
123,3.651,red,0.808,0.7518,0.3512
124,3.681,white,0.857,0.6716,0.0704
124,3.681,red,0.809,0.7518,0.3512
124,3.681,yellow,0.76,0.2517,0.094
125,3.71,white,0.858,0.6716,0.0704
125,3.71,red,0.809,0.7518,0.3512
125,3.71,yellow,0.759,0.2517,0.094
126,3.74,red,0.809,0.7518,0.3512
126,3.74,white,0.76,0.6823,0.0856
126,3.74,yellow,0.733,0.2393,0.1129
127,3.77,red,0.809,0.7518,0.3512
127,3.77,white,0.76,0.6824,0.0855
127,3.77,yellow,0.734,0.2393,0.1129
128,3.799,white,0.848,0.6925,0.1014
128,3.799,red,0.81,0.7518,0.3512
128,3.799,yellow,0.792,0.2259,0.132
129,3.829,red,0.811,0.7518,0.3511
129,3.829,white,0.797,0.7035,0.1154
129,3.829,yellow,0.764,0.2116,0.152
130,3.859,red,0.811,0.7518,0.3511
130,3.859,white,0.796,0.7035,0.1154
130,3.859,yellow,0.765,0.2116,0.152
131,3.888,white,0.834,0.7135,0.1281
131,3.888,red,0.812,0.7518,0.3511
131,3.888,yellow,0.74,0.1993,0.1683
132,3.918,white,0.834,0.7135,0.1281
132,3.918,red,0.812,0.7518,0.3511
132,3.918,yellow,0.74,0.1993,0.1683
133,3.948,white,0.83,0.7249,0.1433
133,3.948,red,0.811,0.7518,0.3511
133,3.948,yellow,0.804,0.1864,0.1845
134,3.977,white,0.829,0.7249,0.1433
134,3.977,red,0.811,0.7518,0.3511
134,3.977,yellow,0.804,0.1864,0.1845
135,4.007,white,0.839,0.7347,0.1541
135,4.007,red,0.813,0.7518,0.351
